"Variable","Unit","N_StableCN","N_CNtransitMCI","StableCN_AdjMean_CI","CNtransitMCI_AdjMean_CI","Diff_CI","SE","PValue","EtaSq","Adj_R2","Miss_StableCN","Miss_CNtransitMCI"
"height","cm",209,26,"160.06 (159.35, 160.76)","162.39 (160.38, 164.40)","-2.33 (-4.46, -0.19)",1.08,0.0328,0.032,0.6,0,0
"weight","kg",209,26,"62.87 (61.81, 63.93)","63.80 (60.78, 66.83)","-0.93 (-4.15, 2.28)",1.63,0.5682,0.009,0.287,0,0
"Waistcir","cm",209,26,"82.59 (81.15, 84.03)","80.25 (76.14, 84.37)","2.33 (-2.03, 6.70)",2.22,0.2934,0.001,0.083,0,0
"Hipcir","cm",209,26,"92.97 (91.81, 94.13)","93.08 (89.77, 96.39)","-0.11 (-3.63, 3.40)",1.78,0.9504,0,-0.006,0,0
"bmi","kg/m2",209,26,"24.51 (24.07, 24.95)","24.25 (22.99, 25.50)","0.26 (-1.07, 1.60)",0.68,0.6975,0.002,-0.008,0,0
"ac","",209,26,"30.10 (29.79, 30.41)","30.15 (29.26, 31.04)","-0.05 (-0.99, 0.90)",0.48,0.9238,0.001,0.064,0,0
"whr","",209,26,"0.89 (0.88, 0.89)","0.90 (0.87, 0.92)","-0.01 (-0.03, 0.01)",0.01,0.352,0.001,0.019,0,0
"pbcm","%",209,26,"43.47 (42.95, 44.00)","44.28 (42.79, 45.77)","-0.81 (-2.39, 0.77)",0.8,0.3146,0.018,0.457,0,0
"pbf","%",209,26,"32.41 (31.61, 33.22)","31.22 (28.93, 33.52)","1.19 (-1.25, 3.63)",1.24,0.3371,0.018,0.429,0,0
"bmr","kcal",209,26,"1287.27 (1275.11, 1299.43)","1316.53 (1281.88, 1351.17)","-29.26 (-66.07, 7.56)",18.69,0.1187,0.025,0.721,0,0
"tbw_ffm","%",209,26,"0.74 (0.74, 0.74)","0.74 (0.74, 0.74)","-0.00 (-0.00, 0.00)",0,0.9015,0.002,0.128,0,0
"ecw_tcw","%",209,26,"0.39 (0.39, 0.39)","0.39 (0.39, 0.39)","0.00 (-0.00, 0.00)",0,0.6862,0.003,0.139,0,0
"PA50_total","degree",209,26,"5.13 (5.06, 5.20)","5.20 (5.00, 5.40)","-0.07 (-0.28, 0.15)",0.11,0.5477,0.008,0.321,0,0
